scope,model,mode,cue,path,count,cohort_n
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CCCC,55,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CCCW,7,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CCWW,21,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CWCC,1,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CWCW,2,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,CWWW,598,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,WCCC,179,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,WWCC,3,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,WWWC,1,874
within_model_mode,anthropic/claude-opus-4.6,static,no_cue,WWWW,7,874
within_model_mode,anthropic/claude-opus-4.6,static,researcher,CAWW,1,874
within_model_mode,anthropic/claude-opus-4.6,static,researcher,CCCC,677,874
within_model_mode,anthropic/claude-opus-4.6,static,researcher,CWWW,6,874
within_model_mode,anthropic/claude-opus-4.6,static,researcher,WCCC,3,874
within_model_mode,anthropic/claude-opus-4.6,static,researcher,WWWW,187,874
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CAWC,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CAWW,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CCCC,53,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CCCW,13,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CCWC,6,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CCWW,41,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CWCC,6,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CWCW,13,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CWWA,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CWWC,5,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,CWWW,258,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WCAC,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WCCC,62,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WCCW,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WCWC,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WWCC,5,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WWCW,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WWWC,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue,WWWW,6,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CAAA,3,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCAA,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCCA,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCCC,381,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCWA,2,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCWC,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CCWW,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CWCC,3,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,CWWW,4,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WAAA,3,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WAAC,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WAAW,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WCWW,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WWWA,1,480
within_model_mode,anthropic/claude-opus-4.6,adaptive,researcher,WWWW,75,480
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CCCC,54,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CCCW,9,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CCWC,5,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CCWW,17,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CWCC,3,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CWCW,1,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CWWC,4,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,CWWW,687,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,WCCC,139,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,WCWC,1,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,WWCC,1,923
within_model_mode,openai/gpt-5.6-sol,static,no_cue,WWWW,2,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CCCC,372,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CCCW,20,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CCWC,8,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CCWW,17,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CWCC,24,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CWCW,10,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CWWC,15,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,CWWW,314,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WCCC,101,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WCCW,8,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WCWC,2,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WCWW,3,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WWCC,3,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WWWC,4,923
within_model_mode,openai/gpt-5.6-sol,static,researcher,WWWW,22,923
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CCCC,96,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CCCW,3,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CCWC,9,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CCWW,18,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CWCC,12,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CWCW,5,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CWWC,12,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,CWWW,479,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,WCCC,89,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,WCWC,1,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,WWCC,2,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,WWWC,1,730
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue,WWWW,3,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CCCC,380,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CCCW,14,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CCWC,18,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CCWW,8,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CWCC,29,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CWCW,14,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CWWC,23,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,CWWW,148,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WCCC,49,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WCCW,8,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WCWC,1,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WCWW,6,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WWCC,2,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WWCW,1,730
within_model_mode,openai/gpt-5.6-sol,adaptive,researcher,WWWW,29,730
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,CCWW,1,603
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,CWCW,1,603
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,CWWC,3,603
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,CWWW,462,603
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,WCCC,135,603
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue,WCWC,1,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CCCC,16,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CCCW,5,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CCWC,3,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CCWW,37,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CWCC,3,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CWCW,5,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CWWC,10,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,CWWW,388,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WCCC,119,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WCCW,5,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WCWC,3,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WCWW,1,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WWCC,4,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WWWC,1,603
within_model_mode,deepseek/deepseek-v4-pro,static,researcher,WWWW,3,603
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,CAWW,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,CCWW,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,CWAW,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,CWCW,33,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,CWWW,253,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WCCC,81,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WCCW,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WCWC,4,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WCWW,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WWCA,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WWCC,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue,WWWC,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CAWW,6,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CCCC,4,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CCCW,4,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CCWC,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CCWW,22,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWAC,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWAW,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWCC,6,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWCW,21,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWWA,3,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWWC,14,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,CWWW,208,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WACC,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WCCC,68,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WCCW,4,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WCWC,6,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WCWW,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WWCC,6,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WWCW,1,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WWWC,2,383
within_model_mode,deepseek/deepseek-v4-pro,adaptive,researcher,WWWW,2,383
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CCCW,4,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CCWW,10,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CWCC,5,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CWCW,9,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CWWC,2,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,CWWW,604,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WCCC,200,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WCCW,1,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WCWC,5,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WCWW,3,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WWCC,2,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WWWC,3,849
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue,WWWW,1,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CCCC,7,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CCCW,9,849
within_model_mode,deepseek/deepseek-v4-flash,static,researcher,CCWC,7,849
