model,mode,condition,status,records
anthropic/claude-opus-4.6,adaptive,authority_junior_lawyer,included,639
anthropic/claude-opus-4.6,adaptive,authority_junior_lawyer,incomplete,247
anthropic/claude-opus-4.6,adaptive,authority_junior_lawyer,provision_mismatch,32
anthropic/claude-opus-4.6,adaptive,authority_junior_lawyer,released,918
anthropic/claude-opus-4.6,adaptive,authority_lawyer,included,605
anthropic/claude-opus-4.6,adaptive,authority_lawyer,incomplete,279
anthropic/claude-opus-4.6,adaptive,authority_lawyer,provision_mismatch,34
anthropic/claude-opus-4.6,adaptive,authority_lawyer,released,918
anthropic/claude-opus-4.6,adaptive,authority_researcher,included,629
anthropic/claude-opus-4.6,adaptive,authority_researcher,incomplete,255
anthropic/claude-opus-4.6,adaptive,authority_researcher,provision_mismatch,34
anthropic/claude-opus-4.6,adaptive,authority_researcher,released,918
anthropic/claude-opus-4.6,adaptive,authority_senior_lawyer,included,623
anthropic/claude-opus-4.6,adaptive,authority_senior_lawyer,incomplete,262
anthropic/claude-opus-4.6,adaptive,authority_senior_lawyer,provision_mismatch,33
anthropic/claude-opus-4.6,adaptive,authority_senior_lawyer,released,918
anthropic/claude-opus-4.6,adaptive,baseline_high,included,629
anthropic/claude-opus-4.6,adaptive,baseline_high,incomplete,249
anthropic/claude-opus-4.6,adaptive,baseline_high,provision_mismatch,40
anthropic/claude-opus-4.6,adaptive,baseline_high,released,918
anthropic/claude-opus-4.6,static,authority_junior_lawyer,included,874
anthropic/claude-opus-4.6,static,authority_junior_lawyer,provision_mismatch,44
anthropic/claude-opus-4.6,static,authority_junior_lawyer,released,918
anthropic/claude-opus-4.6,static,authority_lawyer,included,874
anthropic/claude-opus-4.6,static,authority_lawyer,provision_mismatch,44
anthropic/claude-opus-4.6,static,authority_lawyer,released,918
anthropic/claude-opus-4.6,static,authority_researcher,included,874
anthropic/claude-opus-4.6,static,authority_researcher,provision_mismatch,44
anthropic/claude-opus-4.6,static,authority_researcher,released,918
anthropic/claude-opus-4.6,static,authority_senior_lawyer,included,874
anthropic/claude-opus-4.6,static,authority_senior_lawyer,provision_mismatch,44
anthropic/claude-opus-4.6,static,authority_senior_lawyer,released,918
anthropic/claude-opus-4.6,static,baseline_high,included,874
anthropic/claude-opus-4.6,static,baseline_high,provision_mismatch,44
anthropic/claude-opus-4.6,static,baseline_high,released,918
deepseek/deepseek-v4-flash,adaptive,authority_junior_lawyer,included,723
deepseek/deepseek-v4-flash,adaptive,authority_junior_lawyer,incomplete,158
deepseek/deepseek-v4-flash,adaptive,authority_junior_lawyer,provision_mismatch,45
deepseek/deepseek-v4-flash,adaptive,authority_junior_lawyer,released,926
deepseek/deepseek-v4-flash,adaptive,authority_lawyer,included,684
deepseek/deepseek-v4-flash,adaptive,authority_lawyer,incomplete,200
deepseek/deepseek-v4-flash,adaptive,authority_lawyer,provision_mismatch,42
