scope,model,label,mode,cue,initial_group,score_bin,metric,numerator,denominator,judgments,estimate,lower_95,upper_95,unit
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,all_decisive,final_wrong,628,684,684,91.81286549707602,89.68583409394553,93.71259673635186,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,all_decisive,final_correct,56,684,684,8.187134502923977,6.287403263648142,10.314165906054471,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,all_decisive,final_abstention,0,684,684,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,all_decisive,opposite_endpoint,307,684,684,44.88304093567251,41.26279615768148,48.490641207963854,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,all_decisive,mean_absolute_shift,51719.0,684,684,75.6125730994152,73.68866416402277,77.3379775227164,score_points
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,endpoint,final_wrong,307,356,356,86.23595505617978,82.57117555469054,89.58931506849315,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,endpoint,final_correct,49,356,356,13.764044943820226,10.41068493150685,17.42882444530946,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,endpoint,final_abstention,0,356,356,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,endpoint,opposite_endpoint,307,356,356,86.23595505617978,82.57117555469054,89.58931506849315,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,endpoint,mean_absolute_shift,28074.0,356,356,78.85955056179775,75.45243109840531,81.8863866263794,score_points
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,strong,final_wrong,154,160,160,96.25,92.85714285714286,98.80239520958084,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,strong,final_correct,6,160,160,3.75,1.1976047904191618,7.142857142857142,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,strong,final_abstention,0,160,160,0.0,0.0,0.0,percent
