cohort,cutoff_model,cutoff,targets,judgments,violation,no_violation,first_case,last_case,target_keys_sha256
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,2023-10-01,786,748,533,253,2012-01-10,2023-09-12,c910f7f0c261e42259a5659e6dad6820af055a168b74ffb95ae6b2c872b92e6e
gpt-4o-mini_knowledge_cutoff_post,openai/gpt-4o-mini,2023-10-01,214,199,167,47,2023-10-03,2026-05-21,25c630e72d5d4faea733cade54fccc06ee9c8a6a097b275fda7ee16dd921bfc6
gpt-4.1-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,2024-06-01,841,799,574,267,2012-01-10,2024-05-23,3140f697196d6f8515cb8de14d47f2dddb5f6649b86cf632af562d1999df0cc2
gpt-4.1-mini_knowledge_cutoff_post,openai/gpt-4.1-mini,2024-06-01,159,148,126,33,2024-06-06,2026-05-21,bdbfdd836953d2d8088204e207402e0a1f3e29cab329089b16ca7be47887af3e
all,,,1000,947,700,300,2012-01-10,2026-05-21,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
before_both_old_cutoffs,,,786,748,533,253,2012-01-10,2023-09-12,c910f7f0c261e42259a5659e6dad6820af055a168b74ffb95ae6b2c872b92e6e
between_old_cutoffs,,,55,51,41,14,2023-10-03,2024-05-23,d6c37d367f0df052270f7d3e1782228966451f93505429f33584fad87a97722d
after_both_old_cutoffs,,,159,148,126,33,2024-06-06,2026-05-21,bdbfdd836953d2d8088204e207402e0a1f3e29cab329089b16ca7be47887af3e
2012,,,67,66,33,34,2012-01-10,2012-12-18,2e55816ec70dca0e215f17dda5fad5817c0e74ad9973d6cfff3bc14b49c3edf2
2013,,,67,64,49,18,2013-01-08,2013-12-19,8025b53c2f760823d61e7f2cf175c139fb620992709b682cde0f2953d910eb65
2014,,,67,62,48,19,2014-01-07,2014-12-18,c3a928282c4eb27bd47ae02675cc789383b58d454c644c4d5a6ad8099fe27bb2
2015,,,68,64,47,21,2015-01-13,2015-12-22,2470b8a5cabd37e9f1b353bec916214af0341a1e62e067d86ec82cd9ed958a92
2016,,,68,64,39,29,2016-01-12,2016-12-20,f900da064d3fb5847e9323c8675c0e8ea784e16e77e3fab699a9842676020439
2017,,,67,65,42,25,2017-01-10,2017-12-05,ec4b3a59069cfa156c566537e25f250d47287e0c6ec0a960cb877f714ff70fef
2018,,,68,66,44,24,2018-01-09,2018-12-18,ceb1a7772538e2db2439e67e7566d990f9700b9b66f78ffc6e537c4ee5e6675c
2019,,,67,64,49,18,2019-01-10,2019-12-17,9b83eccb4da97bae003425285c2e787480584517315006fe84e2d9b74a9c28e0
2020,,,67,59,59,8,2020-01-09,2020-12-17,eff42e6936fb2740a66a655a670df292cf7d363fc3f51b77eb7ea874b8145fb1
2021,,,67,66,45,22,2021-01-12,2021-12-16,08adbc92e932f3c3268d83e21cd822207e2c8a6059c8b0785b9e05e6368802ef
2022,,,68,66,45,23,2022-01-13,2022-12-15,6efbcfdc30359ae38d91fe10ba164c67061e247c0dc2e7d1e924046067d13a47
2023,,,68,63,53,15,2023-01-12,2023-12-19,ec93b94095b777b3cfcf4b61baafd655371bbb6cdbf199909bf77ba47bd0038c
2024,,,67,62,42,25,2024-01-11,2024-12-17,a177929eee07b1f84c4d818687265b446b2bd69c8659ac19d25d40aeaa998014
2025,,,67,61,52,15,2025-01-07,2025-12-18,c8138bba41e26d79ffea46f0fc98b5d41d6e27bca3b1294b6e04723dc366997d
2026,,,57,55,53,4,2026-01-08,2026-05-21,4100672cbd12d2584a555f402f54e88832ce52cbe8008895d22b9381c374b4f6
2012-2016,,,337,320,216,121,2012-01-10,2016-12-20,b0f096743057cef9f0f813a04341498d76637c5946ffb4b74e531eb451b05934
2017-2021,,,336,320,239,97,2017-01-10,2021-12-16,e51ae4966b73ef8aac7d84e539382a34f5fb2a4541f7a0e69a47f9e0912eea7d
2022-2026,,,327,307,245,82,2022-01-13,2026-05-21,786d2fede994956c76e6cac8a0cc414b853ce17ccddfb872e5a0efdb682a5a66
