cohort,reference_model,comparison_model,input,targets,metric,difference_pp,lower_95,upper_95
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,786,accuracy,6.61577608142494,3.5527393884304956,9.756794867821604
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,full_record,786,balanced_accuracy,8.30410310792071,4.246621080684687,12.269578054464425
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,786,accuracy,5.089058524173026,2.4200753998046336,7.948717948717956
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,anthropic/claude-opus-4.6,summary,786,balanced_accuracy,9.462435761481366,6.187045045873684,12.753688406825018
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,786,accuracy,15.776081424936379,12.64189105529996,19.181585677749354
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,full_record,786,balanced_accuracy,20.87223487011397,16.979191897010512,24.880810621599256
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,786,accuracy,15.139949109414758,11.974141423963951,18.575203151933017
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,openai/gpt-5.6-sol,summary,786,balanced_accuracy,24.244525357993012,20.644637068045554,27.847386724950397
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,786,accuracy,3.944020356234091,0.8928003453289811,6.997455470737918
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,full_record,786,balanced_accuracy,5.607383072918594,1.915266245621816,9.297447669482136
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,786,accuracy,3.053435114503813,0.38165517107761565,5.7936335250825035
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-pro,summary,786,balanced_accuracy,7.857677847073397,4.772597608189747,11.136828326601613
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,786,accuracy,0.3816793893129784,-2.402174975444597,3.2353695427757496
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,full_record,786,balanced_accuracy,-3.5599077486670296,-6.928382835540266,-0.40256096487098963
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,786,accuracy,0.3816793893129784,-1.7745107038810322,2.567476594803824
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,deepseek/deepseek-v4-flash,summary,786,balanced_accuracy,1.008164687910181,-1.6624633820091161,3.740794030193712
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,786,accuracy,-2.544529262086513,-5.013160274379601,-0.2518497618244469
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,full_record,786,balanced_accuracy,-1.7723527797759004,-4.706826588944684,1.1295217863892297
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,qwen/qwen3-235b-a22b,summary,786,accuracy,-2.798982188295163,-5.190368005404271,-0.38460307298335
