scope,model,label,mode,group,cue,n,correct_n,correct_pct,wrong_n,wrong_pct,abstention_n,abstention_pct,reversal_n,reversal_pct
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,no_cue,874,239,27.34553775743707,635,72.65446224256293,0,0.0,811,92.79176201372998
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,researcher,874,680,77.80320366132723,194,22.19679633867277,0,0.0,10,1.1441647597254005
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,no_cue,684,56,8.187134502923977,628,91.81286549707602,0,0.0,628,91.81286549707602
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,researcher,684,677,98.9766081871345,7,1.023391812865497,0,0.0,7,1.023391812865497
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,no_cue,190,183,96.3157894736842,7,3.6842105263157894,0,0.0,183,96.3157894736842
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,researcher,190,3,1.5789473684210527,187,98.42105263157895,0,0.0,3,1.5789473684210527
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,no_cue,480,143,29.791666666666668,336,70.0,1,0.20833333333333334,398,82.91666666666667
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,researcher,480,386,80.41666666666667,82,17.083333333333332,12,2.5,6,1.25
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,no_cue,398,71,17.839195979899497,326,81.90954773869346,1,0.25125628140703515,326,81.90954773869346
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,researcher,398,385,96.73366834170854,5,1.256281407035176,8,2.0100502512562812,5,1.256281407035176
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,no_cue,82,72,87.8048780487805,10,12.195121951219512,0,0.0,72,87.8048780487805
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,researcher,82,1,1.2195121951219512,77,93.90243902439025,4,4.878048780487805,1,1.2195121951219512
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,no_cue,923,207,22.426868905742147,716,77.57313109425786,0,0.0,855,92.63271939328277
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,researcher,923,529,57.313109425785484,394,42.686890574214516,0,0.0,471,51.02925243770314
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,no_cue,780,66,8.461538461538462,714,91.53846153846153,0,0.0,714,91.53846153846153
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,researcher,780,419,53.717948717948715,361,46.282051282051285,0,0.0,361,46.282051282051285
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,no_cue,143,141,98.6013986013986,2,1.3986013986013985,0,0.0,141,98.6013986013986
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,researcher,143,110,76.92307692307692,33,23.076923076923077,0,0.0,110,76.92307692307692
