model,label,targets,judgments,scores_per_group,metric,estimate,lower_95,upper_95
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,reference_split_change_pct,0.5904761904761906,0.2567421326605231,0.9922719450082634
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,summary_split_change_pct,0.6817460317460319,0.3351716621505458,1.0976565852103715
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_input_change_pct,16.064720332577473,13.824334382466152,18.43992193108399
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_reference_change_pp,15.474244142101282,13.192362044842431,17.914567851372695
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_symmetric_change_pp,15.428609221466361,13.169018354803722,17.809160824079303
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,reference_split_strict_reversal_pct,0.0,0.0,0.0
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,summary_split_strict_reversal_pct,0.0,0.0,0.0
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_input_strict_reversal_pct,4.5468253968253975,3.3392663534314533,5.8879199255787285
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_reference_strict_reversal_pp,4.5468253968253975,3.3392663534314533,5.8879199255787285
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_symmetric_strict_reversal_pp,4.5468253968253975,3.3392663534314533,5.8879199255787285
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,reference_split_absolute_score_difference,0.39911111111111125,0.3508018253968254,0.44947452963077694
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,summary_split_absolute_score_difference,0.30278095238095276,0.2604230757117661,0.34825542344222565
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_input_absolute_score_difference,8.569101549508702,7.8734947683887935,9.271136828418294
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_reference_absolute_score_difference,8.16999043839758,7.483094448539632,8.861165825940642
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,cross_minus_symmetric_absolute_score_difference,8.218155517762666,7.5330736577534925,8.910730253354576
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,reference_rating_sd,0.7643658494271676,0.6696281642440202,0.8650450717111418
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,summary_rating_sd,0.5729622224577562,0.4953029958858734,0.6576596723515885
anthropic/claude-opus-4.6,Claude Opus 4.6,1000,947,5,published_ten_score_category_change_pct,16.1,13.802947300961204,18.530356931822656
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,reference_split_change_pct,3.853174603174603,2.8319078016414583,4.870374690733971
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,summary_split_change_pct,5.867460317460317,4.713521832854596,7.106329648710072
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_input_change_pct,10.780922461577228,9.103620290462928,12.49234665653571
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_reference_change_pp,6.9277478584026175,5.424507587879905,8.475051152725115
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_symmetric_change_pp,5.920605001259761,4.7031255391280915,7.193501353306214
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,reference_split_strict_reversal_pct,0.6230158730158731,0.3804882406790037,0.904192578542274
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,summary_split_strict_reversal_pct,0.7666666666666672,0.5059505152437304,1.0516389930471801
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_input_strict_reversal_pct,5.009194696397073,3.9464248807052567,6.151572446379923
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_reference_strict_reversal_pp,4.386178823381205,3.3244902372334444,5.567478999861211
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_symmetric_strict_reversal_pp,4.314353426555807,3.256083004563669,5.464482937116717
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,reference_split_absolute_score_difference,2.502526984126983,2.1199836027411174,2.8733718718235353
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,summary_split_absolute_score_difference,3.3604000000000007,2.9678587717307203,3.745856595680603
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_input_absolute_score_difference,8.95628158226255,7.938385510508221,10.027541460372767
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_reference_absolute_score_difference,6.453754598135564,5.533132756343321,7.413036940833487
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,cross_minus_symmetric_absolute_score_difference,6.024818090199053,5.197556840707581,6.9167467452541045
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,reference_rating_sd,4.653463621061198,3.935952173099695,5.346040711722251
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,summary_rating_sd,6.326943005614384,5.617921730638491,7.075461318384871
openai/gpt-5.6-sol,GPT-5.6-sol,1000,947,5,published_ten_score_category_change_pct,10.7,8.846698853551976,12.575147030023201
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,999,947,5,reference_split_change_pct,12.867629534296194,11.253152568397542,14.57650240859196
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,999,947,5,summary_split_change_pct,12.008039785817555,10.3550127208742,13.570994358770717
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,999,947,5,cross_input_change_pct,17.213732061615673,15.456216598338656,19.003270458268236
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,999,947,5,cross_minus_reference_change_pp,4.34610252731946,2.9843594107444953,5.776682022652378
