family,model,contrast,unit,n,judgments,estimate,lower_95,upper_95,family_size,simultaneous_lower,simultaneous_upper,excludes_zero,cohort_sha256
us_likelihood,anthropic/claude-opus-4.6,US_minus_original,likelihood_points,800,757,-0.5923749999999999,-1.102119551418011,-0.08435397025804885,6,-1.286099985743569,0.09945407734342183,False,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,anthropic/claude-opus-4.6,US_minus_Russia,likelihood_points,800,757,-1.59875,-2.113920136444854,-1.0954927211302217,12,-2.338730746864062,-0.8636351005403096,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,anthropic/claude-opus-4.6,US_minus_Ukraine,likelihood_points,800,757,-1.2919999999999998,-1.8255275735807919,-0.7468110548212724,12,-2.084057913045913,-0.4927182023669788,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_likelihood,openai/gpt-5.6-sol,US_minus_original,likelihood_points,800,757,-6.4998055555555565,-7.898453523272731,-5.11927717909361,6,-8.431819472901362,-4.69850887865976,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,openai/gpt-5.6-sol,US_minus_Russia,likelihood_points,800,757,-6.125583333333334,-7.484563095427773,-4.803176315176345,12,-8.125033671107332,-4.2535955290132215,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,openai/gpt-5.6-sol,US_minus_Ukraine,likelihood_points,800,757,-5.655861111111111,-7.058710206425736,-4.30544237889258,12,-7.750322141105288,-3.6844571573421843,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_likelihood,deepseek/deepseek-v4-pro,US_minus_original,likelihood_points,800,757,-7.858523313492063,-9.366465978681696,-6.379653379057649,6,-9.924156138784863,-5.877873510921266,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,deepseek/deepseek-v4-pro,US_minus_Russia,likelihood_points,800,757,-8.17449007936508,-9.7503145753087,-6.628663473087343,12,-10.53243270186611,-5.942505151497977,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_destination_order,deepseek/deepseek-v4-pro,US_minus_Ukraine,likelihood_points,800,757,-7.897489583333334,-9.417675446911165,-6.41376488884916,12,-10.18197528205711,-5.806481358264593,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
us_likelihood,deepseek/deepseek-v4-flash,US_minus_original,likelihood_points,800,757,-8.829624007936507,-10.116123604786635,-7.57497367104955,6,-10.556352837309843,-7.172148883251784,True,b92393f8e10e250ebe09756d977011abf41cede26728bed7ea8a2338a9ac4aed
