model,label,roster,condition,cohort_n,paired_valid_n,excluded_missing_n,judgments,before_abstention_n,after_abstention_n,before_brier,after_brier,change,lower_95,upper_95,cohort_sha256
anthropic/claude-opus-4.6,Claude Opus 4.6,primary,summary,1000,1000,0,947,62,79,0.15784784999999998,0.162651881,0.004804031,-0.003672055665043171,0.01311284078649777,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
anthropic/claude-opus-4.6,Claude Opus 4.6,primary,light,1000,1000,0,947,53,56,0.15624861099999998,0.162955,0.006706389000000003,0.0018456712216780252,0.011921551600493654,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
anthropic/claude-opus-4.6,Claude Opus 4.6,primary,medium,1000,1000,0,947,53,53,0.15624861099999998,0.163859213,0.007610602,0.002740704883273827,0.012957755701151255,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
anthropic/claude-opus-4.6,Claude Opus 4.6,primary,heavy,1000,1000,0,947,53,53,0.15624861099999998,0.160242304,0.003993693000000001,-0.0007587188830493513,0.008901726477482792,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-5.6-sol,GPT-5.6-sol,primary,summary,1000,1000,0,947,21,45,0.132926357,0.127054153,-0.005872204000000003,-0.018274691688933156,0.005125174190609386,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-5.6-sol,GPT-5.6-sol,primary,light,1000,1000,0,947,21,26,0.13345841083950616,0.12617422002040818,-0.00728419081909801,-0.012651087245652717,-0.0018067051610849679,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-5.6-sol,GPT-5.6-sol,primary,medium,1000,1000,0,947,21,22,0.13345841083950616,0.12981874528395063,-0.003639665555555558,-0.010067404268300292,0.003153533626635242,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
openai/gpt-5.6-sol,GPT-5.6-sol,primary,heavy,1000,1000,0,947,21,23,0.13345841083950616,0.1309477749087931,-0.002510635930713029,-0.008486233013544456,0.004082299060555678,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,primary,summary,1000,1000,0,947,89,96,0.17045551,0.17545359041975309,0.004998080419753088,-0.0044070550201061685,0.013749249859105188,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,primary,light,1000,985,15,934,70,63,0.16851255195129,0.17890024120272852,0.010387689251438497,0.0009704713831943434,0.01974356362619484,8cddb8689d1d194281cb2950055a17d23d7c00fb9c20f19b1a13a9db4e1413a8
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,primary,medium,1000,981,19,931,70,64,0.16820099439110034,0.17703194766277977,0.008830953271679423,-0.0012461322169390872,0.01859006212710629,11738b9a9493baec2317d8e8a90d7c58dd50455dc7ecd28f83b4ac5c45534c7f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,primary,heavy,1000,982,18,932,70,60,0.16822750024828048,0.16912861860189124,0.0009011183536107755,-0.008276709661195564,0.010387203765164327,7b2961ded62c82e2e9e2f6386bf27ce9331d5d62abdd7c2ec69501c1cab03edf
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,primary,summary,1000,1000,0,947,52,61,0.191261557,0.198072049,0.0068104920000000005,-0.002904544594091361,0.016611963277274124,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
