model,mode,n,first_turn_1_n,first_turn_2_n,first_turn_3_n,no_reversal_n,mean_adjacent_strict_switches,any_abstention_n,cohort_sha256
anthropic/claude-opus-4.6,static,7104,1764,600,195,4545,0.31390765765765766,419,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,adaptive,7104,1450,932,297,4425,0.40596846846846846,746,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
openai/gpt-5.6-sol,static,9204,7285,207,150,1562,0.8710343328987397,0,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,adaptive,9204,6270,326,131,2477,0.8368100825727944,3,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
deepseek/deepseek-v4-pro,static,5094,4941,99,14,40,1.0068708284255987,2,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,adaptive,5094,4804,180,38,72,1.1841382018060462,105,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-flash,static,7764,7317,322,73,52,1.0401854714064915,32,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,adaptive,7764,7034,462,122,146,1.5405718701700155,337,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
qwen/qwen3-235b-a22b,static,7582,7282,165,33,102,0.9777103666578739,134,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,adaptive,7582,6827,295,91,369,1.39620152993933,680,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-32b,static,7728,7536,138,22,32,0.9835662525879917,150,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
qwen/qwen3-32b,adaptive,7728,7126,353,79,170,1.0975672877846792,695,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
