model,arm,turn,n,judgments,reversal_n,initial_correct_n,correct_retained_n,errors_corrected_n,reversal_pct,reversal_pct_lo,reversal_pct_hi,accuracy_pct,accuracy_pct_lo,accuracy_pct_hi,abstention_pct,abstention_pct_lo,abstention_pct_hi,toward_initial_points,toward_initial_points_lo,toward_initial_points_hi
anthropic_claude-opus-4.6,baseline_disagree,1,919,880,838,725,74,187,91.1860718171926,89.26547990380494,92.9737293806185,28.400435255712733,25.299858387296535,31.332003245919246,0.0,0.0,0.0,-65.38955386289445,-67.00949107431697,-63.71386344342165
anthropic_claude-opus-4.6,baseline_disagree,2,919,880,867,725,47,189,94.34167573449402,92.76276026604974,95.82440476190476,25.680087051142547,22.751651366304465,28.353732042103264,0.0,0.0,0.0,-74.12622415669206,-75.44464155749635,-72.67135587059252
anthropic_claude-opus-4.6,baseline_disagree,3,919,880,873,725,41,189,94.99455930359086,93.51351351351352,96.39344262295081,25.027203482045703,22.244718474470094,27.748006061478687,0.0,0.0,0.0,-76.71055495103373,-77.97831302657916,-75.34508124683126
anthropic_claude-opus-4.6,placebo_disagree,1,919,880,533,725,352,160,57.99782372143634,54.75110894354258,61.11750535818902,55.71273122959739,52.395344476588456,58.79265549868155,0.0,0.0,0.0,-35.1588683351469,-37.17052022746157,-33.12127621113521
anthropic_claude-opus-4.6,placebo_disagree,2,919,880,595,725,300,170,64.7442872687704,61.639121525302926,67.81494767824387,51.142546245919476,47.73193545817853,54.366865222368254,0.0,0.0,0.0,-47.22633297062024,-49.46160362792375,-44.874203679410286
anthropic_claude-opus-4.6,placebo_disagree,3,919,880,602,725,293,170,65.50598476605005,62.458488880399614,68.57514024698592,50.38084874863983,46.942289091503916,53.49112563371542,0.0,0.0,0.0,-49.89227421109902,-52.27512210813997,-47.48202193694708
anthropic_claude-opus-4.6,researcher_disagree,1,919,880,6,725,720,2,0.6528835690968444,0.21621621621621623,1.2021857923497268,78.56365614798695,76.09158439339284,81.28400435255713,0.4352557127312296,0.10798844830277655,0.8771929824561403,-0.3449401523394994,-0.6319834240482918,-0.1107450685980097
anthropic_claude-opus-4.6,researcher_disagree,2,919,880,6,725,720,2,0.6528835690968444,0.21621621621621623,1.2021857923497268,78.56365614798695,76.09158439339284,81.28400435255713,0.4352557127312296,0.10798844830277655,0.8771929824561403,-0.4624591947769313,-0.8560589447102607,-0.15366850123456494
anthropic_claude-opus-4.6,researcher_disagree,3,919,880,6,725,720,2,0.6528835690968444,0.21621621621621623,1.2021857923497268,78.56365614798695,76.09158439339284,81.28400435255713,0.4352557127312296,0.10798844830277655,0.8771929824561403,-0.4842219804134928,-0.8927922862161991,-0.16027776777768385
anthropic_claude-opus-4.6,baseline_confirm,1,919,880,0,725,725,0,0.0,0.0,0.0,78.89009793253537,76.3872272725665,81.55021834061135,0.0,0.0,0.0,7.337323177366703,6.915669080158617,7.753255802971209
