item_id,article,respondent,environment,cross_border,territorial,destination_already_present,us_screen_flagged,followup_screen_flagged,summary_sha256,original_us_cohort,followup_cohort
001-108433,10,Austria,,,,,False,False,f9e6e0c86990f543f0bb33e77f4e05e7630fa7bd763fab342f8fbf666f3427ff,True,True
001-108580,34,Ukraine,,,,,False,False,ea6fe142b728d85407a115e981734e26f3444ac284fa7fad485962ed3c448d2c,False,False
001-108599,3,the United Kingdom,,extradited; extradition,,US,True,True,5e101a1eb4c567ca49c7dd7bdb8cf7bee2cee509b15a7c703b3db186a6458487,True,False
001-108607,5,the Republic of Moldova,,extradited; extradition,,Russia,True,True,cb9d66f1ce2e2ad10ce878cac53c7910a0fde5b43ac3a69998c179105a932f74,True,True
001-108680,8,Lithuania,,,,,False,False,0a12ea083b80bf4695e3cc11464c5b8fa08195dbf303ad8462a17a7842d81b68,True,True
001-108859,6,Türkiye,,,,,False,False,0693705e962b33d809250dd7f7f935f3b745b6410f9c44897a94a3a025d588a4,True,False
001-109062,P4-2,Bulgaria,,border,,,True,True,81b56cd22e2e3de54099e96e0bb0194700df3f7edc1b9151c3fd9488f4c90e11,True,True
001-109072,8,the United Kingdom,environmental; Hazardous; hazardous,,,,True,True,ebaf92ec274f421d4adbb6debd06a3b693b8f8197ca2fcb5e0921a838bb5f40a,True,False
001-109565,8,Ukraine,,,,,False,False,b14f55c160d441757b2d9ba70a905e520cd6cd23f215b622f6d48be11f756193,False,False
001-109572,14,France,,,,,False,False,13339618d8ca98db65ff9d08ebd2c935f76de95ed43452ac9ac9a709d38733c8,True,True
001-109575,8,Sweden,,,,,False,False,e7ae7735876287138e2ecc50f4ddd6db30eecff3a8051583c8c45bce01027a98,True,True
001-109581,5,the United Kingdom,,,,,False,False,650eaf8d47b0408563ca0ae2d8da565d84131271056a73084cdbdb377e4b885e,True,False
001-110164,6,Luxembourg,,deportation,,,True,True,dad4d2569b3bad27f2658b630720a1fc89b3d0a232e2c6923b3bd55e9c03cebd,True,True
001-110171,10,Poland,,,,,False,False,e9068ede2611c0b315be762836e8b1e9682f4b958638d42bce723f0483e185f7,True,True
001-110249,3,Czechia,,,,,False,False,9c9313dbe056e8e6a29ece4003c9e32c5aa8c01fc03c533d2dac889812f6e149,True,True
001-110271,8,the United Kingdom,,Asylum; deport; deportation,,,True,True,32c385ae7737ad48571d335a2725f105aab4e9649d4dfcf4b5333b5a33e59dd1,True,False
001-110486,P4-2,Bulgaria,,border,,,True,True,350e68d238f8eaf3c213ab53a780a27bace2d63c9c6df55cce295fbc2f72a2ff,True,True
001-110702,6,Greece,,borders,,,True,True,02a0f90f8312ba328e3f290f4d0695eaccd00b78456d31770f5d7b9145c46de2,True,True
001-110810,6,Bulgaria,,,,,False,False,dfcbd08f4f488bc6bed0ef372dfcd9238e4e77d59fceb628e9b025c71c91d22d,True,True
001-110812,13,Bulgaria,,deportation; expulsion,,,True,True,dc8ba650c69ff1828726e9a3defeb2c4ec927d54b9d8a049198d9739b6445beb,True,True
001-110936,5,Türkiye,,,,,False,False,f5d741a3b9f6449e26bcc1c937b40ae32563aa5f7a1a74d4acd5fa7c850c8779,True,False
001-110942,8,Latvia,,,,,False,False,b5765f5afa5cda126b13f954e29b7f5241ce487537d562cfa771405918281603,True,True
001-110949,3,Estonia,,,,,False,False,5e700491e9595956834e3ca41b9330fa489c12877ac5f2fd1e9a56db9b8c54ed,True,True
001-110950,6,Estonia,,,,,False,False,d6aa91f2eb9a0e88a715651010fce725c45174825cf59cf6dadc691ff2fbe5fe,True,True
001-111044,P1-3,Italy,,,,UK,False,True,c7d9759ace9238d5115307490812ee36043928ba1ffffe23f7aa98ed3d05269e,True,True
001-111175,6,Finland,fishing; lake; salmon,,,,True,True,564a02c9640bec0b8862d62e324803583e99c0b1f4df382f00828b6e917d3280,True,True
001-111369,7,Germany,,,,,False,False,2d996fcd51f4b194c74795dcc61ee3affcb30db3a2a92fc5a5bf3e7f28ef4d24,True,True
001-111394,14,the Republic of Moldova,,,,,False,False,1e9eb01b6515ca400408cccdf24272fc266d349d1401e264f1d129351b3e1ba7,True,True
001-111419,6,Georgia,,,,,False,False,3420efb643e2b3677779dee71d8df75d9b98144db9aab125986f7e987e0f72af,True,True
001-111429,3,Austria,,Asylum; asylum; expel; expulsion; Refugee,Chechen,Russia,True,True,ca3a695bf8dd01ce9b3a525f72bc230041015b80035c67247a9ddaa768379839,True,True
001-111518,6,Bosnia and Herzegovina,,,armed conflict,,True,True,9cc29f9457f0ef9c2d9d34dc547575a7ee9a776c9ce4f1616e776ee923a7e7d1,True,True
001-111521,P1-1,Georgia,,,,,False,False,a5c8b31054596e58d91d59fbe407ed153a494eb718ae185e41923e1dc9f9bae1,True,True
001-111628,5,Armenia,,,,,False,False,d1d18c94c186b4c451615eacf070c658dc1c51d673c6848b1557318e73f07bfa,True,True
001-111666,5,San Marino,,extradite; extradited; Extradition; extradition,,,True,True,7ca3ddb360f89bb943b42d9ea2fdb97756726c0059acd0f0e58ca7da186c0393,True,True
001-111902,8,Latvia,,,,,False,False,a2336d49280ce35b050513eed2dd2a75eccb6bac45a2aceda751ca24853378bb,True,True
001-111938,8,Finland,,,,,False,False,62c5899c310c0340e899f0ce3a6f4b4abbab6479d914a80abc8c6c8c171716e6,True,True
001-112102,6,the Netherlands,,extradition,,UK,True,True,c10a0f4baca92480153d129c32a41a3b9ab665a95abb7e47a70b8d3c7da6ba1b,True,True
001-112465,3,Poland,,,,,False,False,f66e5e1b808ba54dd7c8c04b0fab871c81121621614e7f1c1a7fa2a07f8b17da,True,True
001-112529,P1-1,Albania,,,,,False,False,44d107b97af06317c4ce31e6e591a0c018d944219b7bf2150d332112658d2a55,True,True
001-112576,3,Italy,,,,,False,False,6b14f5fc44ed23170a6fc46db3a0c4a63ba1ec37bed84296d1c97eebeb745531,True,True
001-112588,8,Lithuania,,,,Russia,True,True,460171325a81ce9e263a3191c77ab29e3d4ddcf130971a97b79a689ba065cb30,True,True
001-113137,10,Austria,,asylum,,,True,True,b15ebce91d18f62cd84fcde22d25426cc832a565c0e4fdafd5ad876623110b65,True,True
001-113328,2,Albania,,extradite; extradited; Extradition; extradition,,US,True,True,36988578b7fb1e8dfcea3454a7296295f26c8053cb75e5d0b0277b40cc622811,True,True
001-113432,3,Latvia,,Border; deportation; deported; expulsion,,Russia,True,True,dbbbd2cdf638315505bc70717ed250aa59421f86ef7fefe3b65219f4bf7a78ad,True,True
001-113648,6,Latvia,,,,,False,False,a6f6ce1cf8831aa5990239a41753d282fc42eadd6c904fe68026c8eb8965ce48,True,True
001-113806,6,Slovenia,,,,UK,False,True,5ea5b8b287ff18b66411fc6de9b16a4a53c3ea1dc46749fadbea0890a2de37af,True,True
001-113819,8,France,,,,,False,False,bdb0a81304a800e6e05e0a4d70c975be7c59b464c9e7a3512e69cfab72665f8f,True,True
001-114082,P1-2,the Republic of Moldova,,,,Russia,True,True,86afcad6b0844a4f407a5336283d6883a8b9a34cb79a709f5130494f7623e67d,True,True
001-114085,3,Poland,,,,,False,False,9ff999335a1919ef2254c54d0986bca56c042d39def734d4d1931ae8ca96d2fa,True,True
001-114087,3,Romania,,,,,False,False,9e05285187dab6dd2ac5e4f10aa7f4529d3e28b8b676ded3e27b21d472645d53,True,True
001-114096,P1-1,Bulgaria,,,,,False,False,e15285eeccc1c95bf1d873b248fb1ecbd7ae49a1dd2998383e718abf0030dd75,True,True
001-114243,13,Serbia,,,,,False,False,8b136d36a45050a273184929ab156b84799311b085bf62720e8523c84894cf51,True,True
001-114244,14,the United Kingdom,,asylum; refugee; refugees,,,True,True,ac16981eb3b0f524ae8ed1016531c7942ef24f464203740421fb40ab149d4352,True,False
001-114273,10,Germany,,,,US,True,False,ab594e87dee548c825e3bd18c3d5dbcfbf03fe810271ad316ab2434d74f0036f,True,True
001-114439,8,the Netherlands,,,,,False,False,52c49f4d19f4416f24175081c5d58185689c0a9cc7ca4e0911439d68aec500fb,True,True
001-114473,2,the United Kingdom,,,,,False,False,451cfdf98ca394e73ada9f72d8c9618240e4c7aa6d9dae92af5b0fb6cc804868,True,False
001-114485,5,Denmark,,,,,False,False,ea3db845893d5e62c0c3ec64f70a4d036dbed175c70db3b919a58cff5ff25fc8,True,True
001-114486,14,Finland,,,,,False,False,4731601e0b15c707733512e9f38669f33e1fc7b5beeaa721a252082bddf17045,True,True
001-114486,8,Finland,,,,,False,False,4731601e0b15c707733512e9f38669f33e1fc7b5beeaa721a252082bddf17045,True,True
001-114492,2,Bulgaria,,,,US,True,False,ba998c17820e68face9b76c0ce6e47e7b8d4499d8f7e430679d1a0394eb7bafc,True,True
001-114514,3,Slovakia,,,,,False,False,137b468ea054579888f15237104d8e010dccb8a5be0329ff8ddcdbe77e149e2a,True,True
001-114658,5,Czechia,,,,,False,False,68d8ad629ab89d0cde4f65a9c63178b2eb7d2815f40aa62b95e0394577f78592,True,True
001-115165,8,Andorra,,,,UK,False,True,bc0f288dae0a67841bc1cb3cf641d11097faf4ee4afd1a63a7e4ba0b3b3f43fd,True,True
001-115166,6,Croatia,,,,,False,False,0a9d81a0595a39e04a4660ff1bcc2ac67f9d6b3e0ae7d184bb52c7b1471d1711,True,True
001-115210,13,Montenegro,,,,,False,False,4ecee1c87e89b220546910e100445a579f835bfb2726f4c2d6efb5ba83fc25c4,True,True
001-115377,8,France,,,,,False,False,d304ae0879fd0d1ccecf9ca195c1ffe55b87e483bd74c247c4f569c14dc0c125,True,True
001-115396,3,Sweden,,asylum; deportation,,,True,True,7b451d485d588551a5161a881c8bc3b1993059a15573805f2af04706d50445cf,True,True
001-115770,P4-2,Ukraine,,,Crimea,,True,True,8e076bc59459a0854f60b4370b98b65c36d7578e597c1938a256dee998304924,False,False
001-115850,3,Georgia,,,,,False,False,38b23093b9aa4ffa7ff52b3957360212e1778a05fb95b3c4c4594f87a4c182b5,True,True
001-115854,8,Albania,,expelled; expulsion,,,True,True,7d4e160a1c2e1c995b2ce737a13b974ef017859bce2961ce0ce65dd1f36853cf,True,True
001-115864,8,Finland,,,,,False,False,d5d9179834720b955a8e48d62a9c62901e10067f1af9b98ba61b7f4aa343cd34,True,True
001-115876,6,Bosnia and Herzegovina,,,,,False,False,eefceb48a8fac16608314c3610680fefee8d75f829ae343f2f04d7fe50724674,True,True
001-115883,5,Ukraine,,,,,False,False,ffb514457fd10f0442c57303b1d2d60d291e5648848dc8906b92f755a9647f10,False,False
001-115884,2,Ukraine,,,,,False,False,784e38efa94b2837c4d93921e3a9a1f7839692ec23be5b1299b5143b33ce1d15,False,False
001-115885,6,Ukraine,,,,Russia,True,True,5037ae6eb2a44ee81d9b4eeb71c2b2b1706f0510f4462c2a039d547ff18e40f9,False,False
001-115981,3,Belgium,,,,,False,False,02fbcbaed45ea6544618856bb3f47c6f054a0d99f4ca1b5e7890e1a5103fc9fc,True,True
001-116827,6,North Macedonia,,border,,,True,True,3f9587bacb746eeba8d30ac62916dd9e5e27d67875fc44233331b529c21f6da7,True,True
001-117132,3,Azerbaijan,,,,,False,False,caa0a76b0489d358a8989fbc31b2c5b02a338cf5c25e0f649f4b24570894d3c7,True,True
001-117134,34,Ukraine,,,,,False,False,f6bed0d28bce98065ebfabe04ca242a4818bf8c949e86c9bacadf62f6da26061,False,False
001-118045,6,Austria,,,,,False,False,f5ea0d9a66edcc7d929ed3d445639300e3c8979e66699eb4ad08847de6d96ff7,True,True
001-118335,5,the United Kingdom,,Asylum; asylum; deportation,,,True,True,481aa3b7652289c1f505364f4858ddb8b88d65989e9050daa809cbf576bb3e58,True,False
001-118383,P1-1,Ukraine,,,,,False,False,9b6c76c18bf8d6277183795136e02a27e2cc01768d5d8c967dc10d956410b74c,False,False
001-118388,P1-1,Ukraine,,,,Russia,True,True,38c01252f963f5fd83079c4245615338b3f7c935f0be763a1790e9713995247a,False,False
001-118590,6,Slovenia,,,,,False,False,9c10371fc107e97cd1722781c51a0472c0b2c62c9ac4d87aec2ab893feaacf38,True,True
001-118591,13,Slovenia,,,,,False,False,acaa1024307f3a1fdb81552b16a84cd24959a547ac385683a60f4ac3f4176677,True,True
