item_id,article
001-108433,10
001-108607,5
001-108680,8
001-109062,P4-2
001-109572,14
001-109575,8
001-110164,6
001-110171,10
001-110249,3
001-110486,P4-2
001-110702,6
001-110810,6
001-110812,13
001-110942,8
001-110949,3
001-110950,6
001-111044,P1-3
001-111175,6
001-111369,7
001-111394,14
001-111419,6
001-111429,3
001-111518,6
001-111521,P1-1
001-111628,5
001-111666,5
001-111902,8
001-111938,8
001-112102,6
001-112465,3
001-112529,P1-1
001-112576,3
001-112588,8
001-113137,10
001-113328,2
001-113432,3
001-113648,6
001-113806,6
001-113819,8
001-114082,P1-2
001-114085,3
001-114087,3
001-114096,P1-1
001-114243,13
001-114273,10
001-114439,8
001-114485,5
001-114486,14
001-114486,8
001-114492,2
001-114514,3
001-114658,5
001-115165,8
001-115166,6
001-115210,13
001-115377,8
001-115396,3
001-115850,3
001-115854,8
001-115864,8
001-115876,6
001-115981,3
001-116827,6
001-117132,3
001-118045,6
001-118590,6
001-118591,13
001-118592,6
001-118647,13
001-118737,13
001-118737,6
001-119049,6
001-119055,10
001-119055,8
001-119968,14
001-119972,6
001-120073,3
001-120968,6
001-120969,P1-1
001-121569,3
001-121573,3
001-121574,2
001-122429,6
001-122892,P1-1
001-123422,8
001-123422,P1-1
001-126349,6
001-126352,6
001-126360,5
001-126451,6
001-126635,10
001-126636,6
001-126800,13
001-126807,6
001-126918,13
001-127410,6
001-127617,P1-1
001-127812,6
001-128040,P1-1
001-138558,13
001-138597,2
001-138919,6
001-139175,3
001-139897,3
001-139897,5
001-139995,3
001-140020,2
001-140028,6
001-140235,3
001-140239,6
001-140769,6
001-140785,3
001-141434,5
001-141629,13
001-141644,6
001-141668,8
001-141910,6
001-141933,13
001-141933,6
001-141943,6
001-142082,13
001-142083,13
001-142185,6
001-142305,6
001-142398,8
001-142403,6
001-142515,6
001-142521,5
001-144113,P7-4
001-144367,6
001-144672,5
001-145018,3
001-145068,8
001-145341,3
001-145349,P1-1
001-145466,14
001-145466,8
001-145575,P1-1
001-145653,8
001-145787,8
001-145788,3
001-146047,38
001-146353,6
001-146399,6
001-146409,5
001-146410,10
001-147045,5
001-147272,10
001-147274,8
001-147286,3
001-147443,13
001-147443,6
001-147875,6
001-148263,6
001-148268,8
001-148636,P1-1
001-148642,6
001-148659,5
001-149201,P1-1
001-150217,13
001-150217,3
001-150234,3
001-150239,P1-1
001-150668,P7-4
001-150676,2
001-150704,8
001-150788,8
001-151000,P7-4
001-151051,7
001-152259,5
001-152780,6
001-153349,3
001-153767,P1-1
001-153770,2
001-153910,6
001-153919,2
001-153960,6
001-154149,3
001-154151,5
001-154344,6
001-154347,13
001-154354,13
001-154354,6
001-155006,5
001-155082,6
001-155102,6
001-155352,2
001-155357,6
001-155374,6
001-155819,8
001-155824,6
001-155827,6
001-156069,6
001-156076,5
001-156080,13
001-156080,6
001-156243,2
001-156248,3
001-156263,P4-4
001-156265,8
001-156267,13
001-156272,10
001-156272,6
001-156274,P1-1
001-156275,5
001-156520,6
001-157286,7
001-157538,6
001-157670,3
001-157761,3
001-158037,6
001-158090,13
001-158279,10
001-158472,3
001-158504,14
001-158950,6
001-159211,6
001-159375,P1-3
001-159732,14
001-159880,6
001-159882,13
001-159882,3
001-159906,8
001-159915,6
001-160270,10
001-160619,13
001-160619,6
001-160800,4
001-161369,6
001-161381,6
001-161527,14
001-161809,6
001-161809,P1-1
001-162114,13
001-162179,13
001-162214,3
001-162217,P1-1
001-162424,3
001-162864,8
001-163331,P1-1
001-163356,P1-1
001-163358,5
001-163438,6
001-163451,3
001-163662,3
001-163799,6
001-163822,10
001-164434,5
001-164454,P1-1
001-164470,6
001-164515,6
001-164682,5
001-164917,8
001-164920,P1-1
001-165230,3
001-165758,3
001-166689,6
001-166950,8
001-167110,34
001-167490,6
001-167797,8
001-167806,13
001-168377,8
001-168380,6
001-168382,6
001-168816,5
001-168853,3
001-168860,6
001-169520,6
001-169521,5
001-169654,13
001-169662,3
001-169957,6
001-169957,8
001-170040,P1-1
001-170050,8
001-170349,9
001-170361,P1-1
001-170451,P1-1
