item_id,article,respondent,substituted_UK,substituted_Russia,substituted_Ukraine,common
001-108433,10,Austria,True,True,True,True
001-108580,34,Ukraine,True,True,False,False
001-108599,3,the United Kingdom,False,True,True,False
001-108607,5,the Republic of Moldova,True,True,True,True
001-108680,8,Lithuania,True,True,True,True
001-108859,6,Türkiye,True,True,True,True
001-109062,P4-2,Bulgaria,True,True,True,True
001-109072,8,the United Kingdom,False,True,True,False
001-109565,8,Ukraine,True,True,False,False
001-109572,14,France,True,True,True,True
001-109575,8,Sweden,True,True,True,True
001-109581,5,the United Kingdom,False,True,True,False
001-110164,6,Luxembourg,True,True,True,True
001-110171,10,Poland,True,True,True,True
001-110249,3,Czechia,True,True,True,True
001-110271,8,the United Kingdom,False,True,True,False
001-110486,P4-2,Bulgaria,True,True,True,True
001-110702,6,Greece,True,True,True,True
001-110810,6,Bulgaria,True,True,True,True
001-110812,13,Bulgaria,True,True,True,True
001-110936,5,Türkiye,True,True,True,True
001-110942,8,Latvia,True,True,True,True
001-110949,3,Estonia,True,True,True,True
001-110950,6,Estonia,True,True,True,True
001-111044,P1-3,Italy,True,True,True,True
001-111175,6,Finland,True,True,True,True
001-111369,7,Germany,True,True,True,True
001-111394,14,the Republic of Moldova,True,True,True,True
001-111419,6,Georgia,True,True,True,True
001-111429,3,Austria,True,True,True,True
001-111518,6,Bosnia and Herzegovina,True,True,True,True
001-111521,P1-1,Georgia,True,True,True,True
001-111628,5,Armenia,True,True,True,True
001-111666,5,San Marino,True,True,True,True
001-111902,8,Latvia,True,True,True,True
001-111938,8,Finland,True,True,True,True
001-112102,6,the Netherlands,True,True,True,True
001-112465,3,Poland,True,True,True,True
001-112529,P1-1,Albania,True,True,True,True
001-112576,3,Italy,True,True,True,True
001-112588,8,Lithuania,True,True,True,True
001-113137,10,Austria,True,True,True,True
001-113328,2,Albania,True,True,True,True
001-113432,3,Latvia,True,True,True,True
001-113648,6,Latvia,True,True,True,True
001-113806,6,Slovenia,True,True,True,True
001-113819,8,France,True,True,True,True
001-114082,P1-2,the Republic of Moldova,True,True,True,True
001-114085,3,Poland,True,True,True,True
001-114087,3,Romania,True,True,True,True
001-114096,P1-1,Bulgaria,True,True,True,True
001-114243,13,Serbia,True,True,True,True
001-114244,14,the United Kingdom,False,True,True,False
001-114273,10,Germany,True,True,True,True
001-114439,8,the Netherlands,True,True,True,True
001-114473,2,the United Kingdom,False,True,True,False
001-114485,5,Denmark,True,True,True,True
001-114486,14,Finland,True,True,True,True
001-114486,8,Finland,True,True,True,True
001-114492,2,Bulgaria,True,True,True,True
001-114514,3,Slovakia,True,True,True,True
001-114658,5,Czechia,True,True,True,True
001-115165,8,Andorra,True,True,True,True
001-115166,6,Croatia,True,True,True,True
001-115210,13,Montenegro,True,True,True,True
001-115377,8,France,True,True,True,True
001-115396,3,Sweden,True,True,True,True
001-115770,P4-2,Ukraine,True,True,False,False
001-115850,3,Georgia,True,True,True,True
001-115854,8,Albania,True,True,True,True
001-115864,8,Finland,True,True,True,True
001-115876,6,Bosnia and Herzegovina,True,True,True,True
001-115883,5,Ukraine,True,True,False,False
001-115884,2,Ukraine,True,True,False,False
001-115885,6,Ukraine,True,True,False,False
001-115981,3,Belgium,True,True,True,True
001-116827,6,North Macedonia,True,True,True,True
001-117132,3,Azerbaijan,True,True,True,True
001-117134,34,Ukraine,True,True,False,False
001-118045,6,Austria,True,True,True,True
001-118335,5,the United Kingdom,False,True,True,False
001-118383,P1-1,Ukraine,True,True,False,False
001-118388,P1-1,Ukraine,True,True,False,False
001-118590,6,Slovenia,True,True,True,True
001-118591,13,Slovenia,True,True,True,True
001-118592,6,Slovenia,True,True,True,True
001-118647,13,Hungary,True,True,True,True
001-118737,13,Slovenia,True,True,True,True
001-118737,6,Slovenia,True,True,True,True
001-119049,6,Norway,True,True,True,True
001-119055,10,Luxembourg,True,True,True,True
001-119055,8,Luxembourg,True,True,True,True
001-119465,34,Ukraine,True,True,False,False
001-119676,5,Ukraine,True,True,False,False
001-119688,P1-1,Ukraine,True,True,False,False
001-119968,14,the Republic of Moldova,True,True,True,True
001-119972,6,Azerbaijan,True,True,True,True
001-120067,P1-1,Ukraine,True,True,False,False
001-120073,3,Austria,True,True,True,True
001-120968,6,Slovenia,True,True,True,True
001-120969,P1-1,Czechia,True,True,True,True
001-121569,3,Sweden,True,True,True,True
001-121573,3,Sweden,True,True,True,True
001-121574,2,Sweden,True,True,True,True
001-122187,5,Ukraine,True,True,False,False
001-122429,6,Liechtenstein,True,True,True,True
001-122434,P1-1,Ukraine,True,True,False,False
001-122664,3,the United Kingdom,False,True,True,False
001-122892,P1-1,Malta,True,True,True,True
001-123422,8,Sweden,True,True,True,True
001-123422,P1-1,Sweden,True,True,True,True
001-126133,14,Türkiye,True,True,True,True
001-126349,6,Montenegro,True,True,True,True
001-126352,6,Poland,True,True,True,True
001-126360,5,North Macedonia,True,True,True,True
001-126451,6,Spain,True,True,True,True
001-126635,10,Estonia,True,True,True,True
001-126636,6,Slovenia,True,True,True,True
001-126800,13,Slovakia,True,True,True,True
001-126807,6,Italy,True,True,True,True
001-126918,13,Czechia,True,True,True,True
001-127399,3,Ukraine,True,True,False,False
001-127401,6,Ukraine,True,True,False,False
001-127410,6,Ireland,True,True,True,True
001-127617,P1-1,Serbia,True,True,True,True
001-127809,34,Ukraine,True,True,False,False
001-127812,6,Greece,True,True,True,True
001-127813,8,Ukraine,True,True,False,False
001-128040,P1-1,Lithuania,True,True,True,True
001-128204,8,Ukraine,False,False,False,False
001-138558,13,Romania,True,True,True,True
001-138597,2,Norway,True,True,True,True
001-138919,6,Ireland,True,True,True,True
001-139175,3,Sweden,True,True,True,True
001-139897,3,Serbia,True,True,True,True
001-139897,5,Serbia,True,True,True,True
001-139995,3,Finland,True,True,True,True
001-140020,2,Sweden,True,True,True,True
001-140028,6,Italy,True,True,True,True
001-140235,3,Ireland,True,True,True,True
001-140239,6,Portugal,True,True,True,True
001-140769,6,Latvia,True,True,True,True
001-140782,13,Ukraine,True,True,False,False
001-140785,3,Estonia,True,True,True,True
001-141434,5,Switzerland,True,True,True,True
001-141629,13,Estonia,True,True,True,True
001-141635,3,Ukraine,True,True,False,False
001-141635,6,Ukraine,True,True,False,False
001-141644,6,Latvia,True,True,True,True
001-141668,8,Belgium,True,True,True,True
001-141910,6,Romania,True,True,True,True
001-141933,13,Albania,True,True,True,True
001-141933,6,Albania,True,True,True,True
001-141943,6,Hungary,True,True,True,True
001-142082,13,Slovenia,True,True,True,True
001-142083,13,Slovenia,True,True,True,True
001-142185,6,Albania,True,True,True,True
