model,arm,scope,n,judgments,likelihood_shift,likelihood_shift_lo,likelihood_shift_hi,absolute_shift,absolute_shift_lo,absolute_shift_hi,judgment_change_pct,judgment_change_pct_lo,judgment_change_pct_hi,reversal_pct,reversal_pct_lo,reversal_pct_hi,to_abstention_pct,to_abstention_pct_lo,to_abstention_pct_hi,from_abstention_pct,from_abstention_pct_lo,from_abstention_pct_hi,likelihood_shift_family9_lo,likelihood_shift_family9_hi
openai/gpt-4o-mini,UK,common,783,740,-1.3192848020434227,-1.59365625,-1.0528820590430386,2.519795657726692,2.302810173140755,2.7392138806785327,4.469987228607918,3.0573248407643314,5.890073541481991,0.0,0.0,0.0,2.9374201787994894,1.7971182647049142,4.097442463639646,1.5325670498084292,0.7604562737642585,2.43285646278604,-1.709804692222085,-0.9504006706041617
openai/gpt-4o-mini,UK,substituted,981,928,-1.4041794087665647,-1.6554046391752577,-1.158735512678132,2.5784913353720693,2.3859761444557477,2.783119309865283,4.383282364933741,3.192094802496556,5.685423630886055,0.1019367991845056,0.0,0.3080082135523614,2.9561671763506627,1.9466217858459889,4.065040650406504,1.325178389398573,0.7070528697672996,2.0533880903490758,,
openai/gpt-4o-mini,Russia,common,783,740,0.677522349936143,0.3949141794641136,0.9718170266836085,2.322477650063857,2.0871967912864293,2.5685615614170194,4.980842911877395,3.4482758620689653,6.514036251105213,0.1277139208173691,0.0,0.3870967741935484,1.9157088122605364,1.019108280254777,2.911484654505783,2.9374201787994894,1.8041237113402062,4.166798356510745,0.27333433214379976,1.0902246615562874
openai/gpt-4o-mini,Russia,substituted,966,919,0.5300207039337475,0.2782437813538547,0.7724206568347192,2.2888198757763973,2.0919114783763972,2.510352235059376,4.554865424430642,3.2593003840924992,5.987503472463365,0.10351966873706005,0.0,0.3134878215133589,1.8633540372670807,1.0459977789728185,2.789328309417385,2.587991718426501,1.6511867905056758,3.638253638253638,,
openai/gpt-4o-mini,Ukraine,common,783,740,0.7848020434227331,0.5132921419518377,1.0659971156798569,2.2790549169859515,2.0487065637065633,2.5173116106080204,4.853128991060026,3.3950836413149195,6.370447493058953,0.1277139208173691,0.0,0.38910505836575876,2.0434227330779056,1.1421319796954315,3.0574223319901206,2.681992337164751,1.5462923700739406,3.866104090455603,0.3949332410444288,1.1826488455766684
openai/gpt-4o-mini,Ukraine,substituted,832,783,0.7259615384615384,0.4677846889952153,1.0017682908458616,2.2896634615384617,2.0715976074895974,2.523375457908146,4.927884615384615,3.4981905910735827,6.424632718435875,0.1201923076923077,0.0,0.36543034715994505,2.043269230769231,1.10405937933814,3.0917419100650645,2.764423076923077,1.6990291262135921,3.89810837404259,,
openai/gpt-4.1-mini,UK,common,783,740,-3.0632183908045976,-3.7441223267462376,-2.393554236200257,5.387611749680715,4.826618612444721,5.969377869925938,11.749680715197957,9.54122431758865,14.010463754500321,1.7879948914431674,0.899714055657672,2.6959372723172454,5.747126436781609,4.102432778489116,7.542325037664751,4.21455938697318,2.9223977515334854,5.612424088409309,-4.013267101175392,-2.121005715399996
openai/gpt-4.1-mini,UK,substituted,981,928,-3.211518858307849,-3.781206657143859,-2.608956988810475,5.298165137614679,4.7957941598103275,5.8258041427185425,10.703363914373089,8.636651753408305,12.841323364347268,1.529051987767584,0.8080604225911996,2.361517774904724,5.096839959225281,3.60082304526749,6.550665301944729,4.077471967380224,2.9441624365482233,5.333470225872689,,
openai/gpt-4.1-mini,Russia,common,783,740,1.39272030651341,0.8624480684603656,1.9037486421764676,3.838441890166028,3.4081144434960295,4.3262466103693225,8.42911877394636,6.5550595483630385,10.38474025974026,0.8939974457215837,0.2583812834651962,1.552493946974997,3.0651340996168583,1.9254222968808299,4.3148578744702935,4.469987228607918,3.088803088803089,5.943152454780361,0.6669685775416495,2.14156157626039
openai/gpt-4.1-mini,Russia,substituted,966,919,1.3545548654244306,0.8793883909816552,1.8274854085128127,3.734472049689441,3.3269097818209556,4.166675284384695,7.971014492753623,6.262673090085822,9.700722394220847,0.9316770186335404,0.41109969167523125,1.5690376569037656,2.7950310559006213,1.8392625107475096,3.8582862933509805,4.244306418219462,3.026982211203897,5.549988580564119,,
