case_name,article,violation_label,avg_rating,is_accurate,num_abstentions,num_samples,sample_ratings,item_id,respondent,group,decision_date,importance
CASE OF SELIMI AND KRASNIĆI v. SERBIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243363,SERBIA,,2025-06-03,4
CASE OF MINASYAN v. ARMENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245690,ARMENIA,,2025-11-06,4
CASE OF GULLOTTI v. ITALY,8,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-244000,ITALY,,2025-07-10,3
CASE OF EDITORIAL BOARD OF THE NEWSPAPER AND INTERNET PORTAL MAGYAR HANG AND ALHAMBRA PRESS BT v. HUNGARY,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-247556,HUNGARY,,2025-12-16,4
CASE OF ZAKAIDZE v. GEORGIA,3,no_violation,4.8,True,0,5,"[5, 5, 5, 4, 5]",001-245686,GEORGIA,,2025-11-04,4
CASE OF MACHARIK v. THE CZECH REPUBLIC,41,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-241743,CZECH REPUBLIC,,2025-02-13,3
CASE OF YILDIRIM v. TÜRKİYE,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244020,TURKEY,,2025-07-10,4
CASE OF IBRAHIMI AND OTHERS v. ALBANIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238788,ALBANIA,,2025-01-14,4
CASE OF EZEOKE v. THE UNITED KINGDOM,6,violation,4.2,False,0,5,"[4, 4, 4, 4, 5]",001-241978,UNITED KINGDOM,,2025-02-25,3
"CASE OF JÓHANNES BALDURSSON AND BIRKIR KRISTINSSON v. ICELAND

",6,violation,4.0,False,0,5,"[2, 5, 4, 4, 5]",001-240184,ICELAND,,2025-01-21,4
CASE OF ČERNÝ AND OTHERS v. THE CZECH REPUBLIC,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-247564,CZECH REPUBLIC,,2025-12-18,3
CASE OF TVERDOKHLEBOVA v. UKRAINE,P1-1,no_violation,2.8,False,0,5,"[4, 1, 4, 1, 4]",001-238800,UKRAINE,,2025-01-16,4
"CASE OF URUSBIEV AND OTHERS v. THE REPUBLIC OF MOLDOVA AND RUSSIA
",8,violation,4.0,False,2,5,"[5, 3, 4, 3, 5]",001-245447,REPUBLIC OF MOLDOVA AND RUSSIA,,2025-10-23,4
CASE OF ZVONAR v. UKRAINE,P1-1,no_violation,4.6,True,0,5,"[4, 5, 5, 5, 4]",001-246024,UKRAINE,,2025-11-20,4
CASE OF N.T. v. CYPRUS,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243885,CYPRUS,,2025-07-03,3
CASE OF SAKELLARIS AND OTHERS v. GREECE,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245460,GREECE,,2025-10-23,4
CASE OF RADELIĆ v. CROATIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243081,CROATIA,,2025-05-13,3
CASE OF MARZOUKI AND OTHERS v. BULGARIA,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-241871,BULGARIA,,2025-02-27,4
CASE OF KAROVIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA,P1-1,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-243781,BOSNIA AND HERZEGOVINA,,2025-06-24,4
CASE OF MENDIETA BORREGO v. SPAIN,P1-1,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-245279,SPAIN,,2025-10-16,4
CASE OF RUTKAUSKAS v. LITHUANIA,9,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244592,LITHUANIA,,2025-08-26,4
CASE OF STOJEVIĆ v. CROATIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242059,CROATIA,,2025-03-04,4
CASE OF FORTUZI v. ALBANIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242762,ALBANIA,,2025-04-22,4
CASE OF K.V. MEDITERRANEAN TOURS LIMITED v. TÜRKİYE,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-243553,MEDITERRANEAN TOURS LIMITED V. TÜRKİYE,,2025-06-10,3
CASE OF HEINZ AND HAIDERER v. AUSTRIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242534,AUSTRIA,,2025-04-03,4
CASE OF CONSTANTINOU AND OTHERS v. CYPRUS,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-245810,CYPRUS,,2025-11-13,3
CASE OF PÁPICS AND OTHERS v. HUNGARY,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-242058,HUNGARY,,2025-03-04,4
CASE OF VERVELE v. GREECE,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-244594,GREECE,,2025-08-26,3
CASE OF VAINIK AND OTHERS v. ESTONIA,8,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-245684,ESTONIA,,2025-11-04,3
"CASE OF MEDIAKOMPANIYA SLOVO, TOV AND OTHERS v. UKRAINE",10,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-243997,UKRAINE,,2025-07-10,4
CASE OF GEORGIOS PAPADOPOULOS v. CYPRUS,P1-3,violation,4.6,False,0,5,"[5, 5, 4, 5, 4]",001-245104,CYPRUS,,2025-10-09,1
CASE OF A.R. v. THE UNITED KINGDOM,8,violation,1.8,True,0,5,"[5, 1, 1, 1, 1]",001-243878,UNITED KINGDOM,,2025-07-01,3
CASE OF A.J. AND L.E. v. SPAIN,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-245390,SPAIN,,2025-10-23,3
CASE OF A.R.E. v. GREECE,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-240242,GREECE,,2025-01-07,1
